person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,log_person_income,log_loan_amnt
21,9600,OWN,5,EDUCATION,B,1000,0.1114,0,0.104166667,N,2,9.169622539,6.908754779
25,9600,MORTGAGE,1,MEDICAL,C,5500,0.1287,1,0.572916667,N,3,9.169622539,8.612685173
23,65500,RENT,4,MEDICAL,C,35000,0.1523,1,0.534351145,N,2,11.08982069,10.46313191
24,54400,RENT,8,MEDICAL,C,35000,0.1427,1,0.643382353,Y,4,10.90413782,10.46313191
21,9900,OWN,2,VENTURE,A,2500,0.0714,1,0.2525253,N,2,9.200391041,7.824445931
26,77100,RENT,8,EDUCATION,B,35000,0.1242,1,0.453955901,N,3,11.25287153,10.46313191
24,78956,RENT,5,MEDICAL,B,35000,0.1111,1,0.443284868,N,4,11.27665868,10.46313191
24,83000,RENT,8,PERSONAL,A,35000,0.089,1,0.421686747,N,2,11.32660793,10.46313191
21,10000,OWN,6,VENTURE,D,1600,0.1474,1,0.16,N,3,9.210440367,7.378383713
22,85000,RENT,6,VENTURE,B,35000,0.1037,1,0.411764706,N,4,11.3504183,10.46313191
21,10000,OWN,2,HOMEIMPROVEMENT,A,4500,0.0863,1,0.45,N,2,9.210440367,8.412054873
23,95000,RENT,2,VENTURE,A,35000,0.079,1,0.368421053,N,2,11.4616427,10.46313191
26,108160,RENT,4,EDUCATION,E,35000,0.1839,1,0.323594675,N,4,11.59137614,10.46313191
23,115000,RENT,2,EDUCATION,A,35000,0.079,0,0.304347826,N,4,11.6526961,10.46313191
23,500000,MORTGAGE,7,DEBTCONSOLIDATION,B,30000,0.1065,0,0.06,N,3,13.12236538,10.30898599
23,120000,RENT,0,EDUCATION,A,35000,0.079,0,0.291666667,N,4,11.69525536,10.46313191
23,92111,RENT,7,MEDICAL,F,35000,0.2025,1,0.379976333,N,4,11.43076051,10.46313191
23,113000,RENT,8,DEBTCONSOLIDATION,D,35000,0.1825,1,0.309734513,N,4,11.63515195,10.46313191
24,10800,MORTGAGE,8,EDUCATION,B,1750,0.1099,1,0.162037037,N,2,9.287394001,7.467942332
25,162500,RENT,2,VENTURE,A,35000,0.0749,0,0.215384615,N,4,11.99843943,10.46313191
25,137000,RENT,9,PERSONAL,E,34800,0.1677,0,0.254014599,Y,2,11.8277435,10.4574014
22,65000,RENT,4,EDUCATION,D,34000,0.1758,1,0.523076923,N,4,11.08215793,10.43414521
24,10980,OWN,0,PERSONAL,A,1500,0.0729,0,0.136612022,N,3,9.303921786,7.313886832
22,80000,RENT,3,PERSONAL,D,33950,0.1454,1,0.424375,Y,4,11.28979441,10.43267359
24,67746,RENT,8,HOMEIMPROVEMENT,C,33000,0.1268,1,0.48711363,N,3,11.12353546,10.40429314
21,11000,MORTGAGE,3,VENTURE,E,4575,0.1774,1,0.415909091,Y,3,9.305741457,8.428580533
23,11000,OWN,0,PERSONAL,A,1400,0.0932,0,0.127272727,N,3,9.305741457,7.244941546
