person_age,person_emp_length,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,log_person_income,log_loan_amnt,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file
21,5,0.1114,0,0.104166667,2,9.169622539,6.908754779,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25,1,0.1287,1,0.572916667,3,9.169622539,8.612685173,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23,4,0.1523,1,0.534351145,2,11.08982069,10.46313191,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
24,8,0.1427,1,0.643382353,4,10.90413782,10.46313191,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
21,2,0.0714,1,0.2525253,2,9.200391041,7.824445931,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
26,8,0.1242,1,0.453955901,3,11.25287153,10.46313191,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24,5,0.1111,1,0.443284868,4,11.27665868,10.46313191,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
24,8,0.089,1,0.421686747,2,11.32660793,10.46313191,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
21,6,0.1474,1,0.16,3,9.210440367,7.378383713,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
22,6,0.1037,1,0.411764706,4,11.3504183,10.46313191,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
21,2,0.0863,1,0.45,2,9.210440367,8.412054873,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
23,2,0.079,1,0.368421053,2,11.4616427,10.46313191,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
26,4,0.1839,1,0.323594675,4,11.59137614,10.46313191,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
23,2,0.079,0,0.304347826,4,11.6526961,10.46313191,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,7,0.1065,0,0.06,3,13.12236538,10.30898599,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
23,0,0.079,0,0.291666667,4,11.69525536,10.46313191,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,7,0.2025,1,0.379976333,4,11.43076051,10.46313191,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
23,8,0.1825,1,0.309734513,4,11.63515195,10.46313191,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24,8,0.1099,1,0.162037037,2,9.287394001,7.467942332,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25,2,0.0749,0,0.215384615,4,11.99843943,10.46313191,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
25,9,0.1677,0,0.254014599,2,11.8277435,10.4574014,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
22,4,0.1758,1,0.523076923,4,11.08215793,10.43414521,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
24,0,0.0729,0,0.136612022,3,9.303921786,7.313886832,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
22,3,0.1454,1,0.424375,4,11.28979441,10.43267359,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
24,8,0.1268,1,0.48711363,3,11.12353546,10.40429314,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
21,3,0.1774,1,0.415909091,3,9.305741457,8.428580533,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
23,0,0.0932,0,0.127272727,3,9.305741457,7.244941546,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
24,6,0.0999,1,0.5,3,11.08215793,10.38902614,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
21,5,0.1284,1,0.351216086,2,9.340491056,8.294299609,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
21,5,0.1112,1,0.173611111,3,9.351926736,7.601402335,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
25,2,0.0662,0,0.266666667,2,11.69525536,10.37352243,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
26,7,0.1417,1,0.326842105,3,11.4616427,10.34338629,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
25,2,0.1385,0,0.079248366,3,12.63134365,10.09621313,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
26,10,0.1349,0,0.026,4,12.61154109,8.96200721,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21,5,0.0751,1,0.208333333,4,9.392745259,7.824445931,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22,1,0.1839,1,0.625,2,10.77897712,10.30898599,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
24,8,0.1454,1,0.46875,3,11.06665399,10.30898599,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
25,4,0.1689,1,0.4,4,11.22525673,10.30898599,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
23,3,0.1099,1,0.41958042,4,11.17746671,10.30898599,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
26,6,0.1799,1,0.483481064,2,11.03571191,10.30898599,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
24,4,0.1269,1,0.208333333,3,9.392745259,7.824445931,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
26,10,0.0788,0,0.066666667,4,12.61154109,9.903537551,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
23,1,0.1941,0,0.080833333,2,12.61154109,10.09621313,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
26,9,0.1038,0,0.033333333,4,12.61154109,9.210440367,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
26,0,0.1533,0,0.083333333,3,12.61154109,10.1266711,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25,9,0.1645,0,0.06,3,12.61154109,9.798182591,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
26,8,0.0749,1,0.371793283,3,11.29838232,10.30898599,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
22,4,0.1269,1,0.452488688,3,11.10196026,10.30898599,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
26,0,0.0662,1,0.336972638,3,11.39671744,10.30898599,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
24,4,0.1099,1,0.384615385,4,11.26447693,10.30898599,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
23,7,0.1862,1,0.384615385,3,11.26447693,10.30898599,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
23,6,0.1523,1,0.326072779,3,11.4295982,10.30898599,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
23,7,0.1065,1,0.309278351,2,11.48247657,10.30898599,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
25,9,0.079,0,0.25,4,11.69525536,10.30898599,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,4,0.1596,0,0.035714286,3,12.54254845,9.210440367,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
26,0,0.1148,0,0.072175068,3,12.53215177,9.903537551,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
23,3,0.1099,0,0.126353791,4,12.5317764,10.46313191,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
25,9,0.0729,0,0.234375,4,11.75979336,10.30898599,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
24,2,0.1099,0,0.145833333,3,9.392745259,7.467942332,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
21,0,0.0599,0,0.229007634,4,11.78296024,10.30898599,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
22,6,0.1158,0,0.043636364,2,12.52453001,9.392745259,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
26,0,0.1099,1,0.038022814,4,12.47991311,9.210440367,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25,9,0.157,1,0.112688754,2,12.30976126,10.1266711,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
22,6,0.1599,1,0.415714286,3,11.15626481,10.27852782,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
22,7,0.1484,0,0.125,3,9.392745259,7.313886832,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
26,10,0.1099,0,0.107692308,3,12.46844076,10.2399955,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25,9,0.1442,0,0.077220077,2,12.4645872,9.903537551,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
24,9,0.0699,0,0.037647059,2,12.44902275,9.169622539,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
25,2,0.1349,0,0.1,4,12.4292202,10.1266711,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
25,0,0.1099,1,0.25,3,9.392745259,8.006700845,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22,6,0.1099,1,0.49165935,2,10.94994653,10.2399955,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
21,6,0.1361,1,0.25,3,9.392745259,8.006700845,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
23,2,0.079,1,0.430769231,2,11.08215793,10.2399955,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,2,0.0749,1,0.329411765,3,11.3504183,10.2399955,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
26,2,0.0751,1,0.508333333,3,9.392745259,8.716207971,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22,6,0.0991,1,0.318181818,3,11.38510346,10.2399955,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
21,0,0.1348,1,0.35,4,9.392745259,8.343077871,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
22,6,0.0714,1,0.395833333,2,9.392745259,8.466110401,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
24,0,0.1599,1,0.337333141,4,11.32665613,10.2399955,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
24,2,0.1298,0,0.072,3,12.4292202,9.798182591,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
25,5,0.1269,0,0.28,3,11.51293546,10.2399955,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
26,10,0.089,0,0.254545455,2,11.60824474,10.2399955,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,0,0.1099,1,0.225,4,9.392745259,7.901377354,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
22,6,0.1099,1,0.259259259,4,11.58989577,10.2399955,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
23,7,0.1111,0,0.185185185,2,11.92636536,10.2399955,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24,2,0.1099,1,0.4,2,11.14187628,10.22560728,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
21,5,0.1568,1,0.270833333,3,9.392745259,8.08671792,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
22,4,0.1306,1,0.392857143,3,11.15626481,10.22197765,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
22,6,0.1099,0,0.104166667,2,12.38839837,10.1266711,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
26,5,0.1562,1,0.369535519,2,11.20096436,10.20547925,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
24,5,0.1349,1,0.325301205,2,11.32660793,10.20362918,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
24,0,0.1099,1,0.367852423,3,11.20367921,10.20362918,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
