person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,log_person_income,log_loan_amnt,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file
21,9600,5,1000,0.1114,0,0.104166667,2,9.169622539,6.908754779,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25,9600,1,5500,0.1287,1,0.572916667,3,9.169622539,8.612685173,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23,65500,4,35000,0.1523,1,0.534351145,2,11.08982069,10.46313191,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
24,54400,8,35000,0.1427,1,0.643382353,4,10.90413782,10.46313191,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
21,9900,2,2500,0.0714,1,0.2525253,2,9.200391041,7.824445931,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
26,77100,8,35000,0.1242,1,0.453955901,3,11.25287153,10.46313191,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24,78956,5,35000,0.1111,1,0.443284868,4,11.27665868,10.46313191,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
24,83000,8,35000,0.089,1,0.421686747,2,11.32660793,10.46313191,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
21,10000,6,1600,0.1474,1,0.16,3,9.210440367,7.378383713,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
22,85000,6,35000,0.1037,1,0.411764706,4,11.3504183,10.46313191,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
21,10000,2,4500,0.0863,1,0.45,2,9.210440367,8.412054873,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
23,95000,2,35000,0.079,1,0.368421053,2,11.4616427,10.46313191,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
26,108160,4,35000,0.1839,1,0.323594675,4,11.59137614,10.46313191,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
23,115000,2,35000,0.079,0,0.304347826,4,11.6526961,10.46313191,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,500000,7,30000,0.1065,0,0.06,3,13.12236538,10.30898599,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
23,120000,0,35000,0.079,0,0.291666667,4,11.69525536,10.46313191,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,92111,7,35000,0.2025,1,0.379976333,4,11.43076051,10.46313191,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
23,113000,8,35000,0.1825,1,0.309734513,4,11.63515195,10.46313191,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24,10800,8,1750,0.1099,1,0.162037037,2,9.287394001,7.467942332,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25,162500,2,35000,0.0749,0,0.215384615,4,11.99843943,10.46313191,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
25,137000,9,34800,0.1677,0,0.254014599,2,11.8277435,10.4574014,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
22,65000,4,34000,0.1758,1,0.523076923,4,11.08215793,10.43414521,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
24,10980,0,1500,0.0729,0,0.136612022,3,9.303921786,7.313886832,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
22,80000,3,33950,0.1454,1,0.424375,4,11.28979441,10.43267359,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
24,67746,8,33000,0.1268,1,0.48711363,3,11.12353546,10.40429314,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
21,11000,3,4575,0.1774,1,0.415909091,3,9.305741457,8.428580533,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
23,11000,0,1400,0.0932,0,0.127272727,3,9.305741457,7.244941546,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
24,65000,6,32500,0.0999,1,0.5,3,11.08215793,10.38902614,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
21,11389,5,4000,0.1284,1,0.351216086,2,9.340491056,8.294299609,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
21,11520,5,2000,0.1112,1,0.173611111,3,9.351926736,7.601402335,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
25,120000,2,32000,0.0662,0,0.266666667,2,11.69525536,10.37352243,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
26,95000,7,31050,0.1417,1,0.326842105,3,11.4616427,10.34338629,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
25,306000,2,24250,0.1385,0,0.079248366,3,12.63134365,10.09621313,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
26,300000,10,7800,0.1349,0,0.026,4,12.61154109,8.96200721,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21,12000,5,2500,0.0751,1,0.208333333,4,9.392745259,7.824445931,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22,48000,1,30000,0.1839,1,0.625,2,10.77897712,10.30898599,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
24,64000,8,30000,0.1454,1,0.46875,3,11.06665399,10.30898599,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
25,75000,4,30000,0.1689,1,0.4,4,11.22525673,10.30898599,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
23,71500,3,30000,0.1099,1,0.41958042,4,11.17746671,10.30898599,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
26,62050,6,30000,0.1799,1,0.483481064,2,11.03571191,10.30898599,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
24,12000,4,2500,0.1269,1,0.208333333,3,9.392745259,7.824445931,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
26,300000,10,20000,0.0788,0,0.066666667,4,12.61154109,9.903537551,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
23,300000,1,24250,0.1941,0,0.080833333,2,12.61154109,10.09621313,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
26,300000,9,10000,0.1038,0,0.033333333,4,12.61154109,9.210440367,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
26,300000,0,25000,0.1533,0,0.083333333,3,12.61154109,10.1266711,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25,300000,9,18000,0.1645,0,0.06,3,12.61154109,9.798182591,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
26,80690,8,30000,0.0749,1,0.371793283,3,11.29838232,10.30898599,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
22,66300,4,30000,0.1269,1,0.452488688,3,11.10196026,10.30898599,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
26,89028,0,30000,0.0662,1,0.336972638,3,11.39671744,10.30898599,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
24,78000,4,30000,0.1099,1,0.384615385,4,11.26447693,10.30898599,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
23,78000,7,30000,0.1862,1,0.384615385,3,11.26447693,10.30898599,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
23,92004,6,30000,0.1523,1,0.326072779,3,11.4295982,10.30898599,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
23,97000,7,30000,0.1065,1,0.309278351,2,11.48247657,10.30898599,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
25,120000,9,30000,0.079,0,0.25,4,11.69525536,10.30898599,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,280000,4,10000,0.1596,0,0.035714286,3,12.54254845,9.210440367,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
26,277104,0,20000,0.1148,0,0.072175068,3,12.53215177,9.903537551,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
23,277000,3,35000,0.1099,0,0.126353791,4,12.5317764,10.46313191,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
25,128000,9,30000,0.0729,0,0.234375,4,11.75979336,10.30898599,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
24,12000,2,1750,0.1099,0,0.145833333,3,9.392745259,7.467942332,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
21,131000,0,30000,0.0599,0,0.229007634,4,11.78296024,10.30898599,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
22,275000,6,12000,0.1158,0,0.043636364,2,12.52453001,9.392745259,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
26,263000,0,10000,0.1099,1,0.038022814,4,12.47991311,9.210440367,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25,221850,9,25000,0.157,1,0.112688754,2,12.30976126,10.1266711,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
22,70000,6,29100,0.1599,1,0.415714286,3,11.15626481,10.27852782,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
22,12000,7,1500,0.1484,0,0.125,3,9.392745259,7.313886832,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
26,260000,10,28000,0.1099,0,0.107692308,3,12.46844076,10.2399955,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25,259000,9,20000,0.1442,0,0.077220077,2,12.4645872,9.903537551,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
24,255000,9,9600,0.0699,0,0.037647059,2,12.44902275,9.169622539,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
25,250000,2,25000,0.1349,0,0.1,4,12.4292202,10.1266711,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
25,12000,0,3000,0.1099,1,0.25,3,9.392745259,8.006700845,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22,56950,6,28000,0.1099,1,0.49165935,2,10.94994653,10.2399955,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
21,12000,6,3000,0.1361,1,0.25,3,9.392745259,8.006700845,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
23,65000,2,28000,0.079,1,0.430769231,2,11.08215793,10.2399955,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,85000,2,28000,0.0749,1,0.329411765,3,11.3504183,10.2399955,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
26,12000,2,6100,0.0751,1,0.508333333,3,9.392745259,8.716207971,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22,88000,6,28000,0.0991,1,0.318181818,3,11.38510346,10.2399955,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
21,12000,0,4200,0.1348,1,0.35,4,9.392745259,8.343077871,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
22,12000,6,4750,0.0714,1,0.395833333,2,9.392745259,8.466110401,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
24,83004,0,28000,0.1599,1,0.337333141,4,11.32665613,10.2399955,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
24,250000,2,18000,0.1298,0,0.072,3,12.4292202,9.798182591,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
25,100000,5,28000,0.1269,0,0.28,3,11.51293546,10.2399955,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
26,110000,10,28000,0.089,0,0.254545455,2,11.60824474,10.2399955,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
26,12000,0,2700,0.1099,1,0.225,4,9.392745259,7.901377354,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
22,108000,6,28000,0.1099,1,0.259259259,4,11.58989577,10.2399955,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
23,151200,7,28000,0.1111,0,0.185185185,2,11.92636536,10.2399955,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24,69000,2,27600,0.1099,1,0.4,2,11.14187628,10.22560728,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
21,12000,5,3250,0.1568,1,0.270833333,3,9.392745259,8.08671792,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
22,70000,4,27500,0.1306,1,0.392857143,3,11.15626481,10.22197765,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
22,240000,6,25000,0.1099,0,0.104166667,2,12.38839837,10.1266711,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
26,73200,5,27050,0.1562,1,0.369535519,2,11.20096436,10.20547925,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
24,83000,5,27000,0.1349,1,0.325301205,2,11.32660793,10.20362918,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
24,73399,0,27000,0.1099,1,0.367852423,3,11.20367921,10.20362918,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
23,62500,7,26000,0.1171,1,0.416,2,11.04293784,10.16589028,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
23,120000,1,25600,0.1269,0,0.213333333,3,11.69525536,10.15038669,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24,12360,2,1600,0.1357,0,0.129449838,3,9.422301634,7.378383713,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22,60000,0,25475,0.1099,1,0.424583333,3,11.00211651,10.14549211,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
25,234000,3,20000,0.1427,0,0.085470085,4,12.36308067,9.903537551,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
24,234000,8,20000,0.0888,0,0.085470085,4,12.36308067,9.903537551,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
26,234000,10,21600,0.1218,0,0.092307692,3,12.36308067,9.980494889,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25,221004,6,11900,0.1442,1,0.053845179,3,12.3059406,9.384377709,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
26,232500,0,25000,0.1417,0,0.107526882,2,12.35664981,10.1266711,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
25,230000,5,35000,0.1399,0,0.152173913,4,12.34583894,10.46313191,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23,83000,7,25300,0.1099,1,0.304819277,3,11.32660793,10.1385992,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22,12600,4,2000,0.0542,1,0.158730159,4,9.441531455,7.601402335,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
25,12600,3,1750,0.1361,0,0.138888889,3,9.441531455,7.467942332,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
21,42500,3,25000,0.1273,1,0.588235294,3,10.65728288,10.1266711,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
24,41000,2,25000,0.1099,1,0.609756098,3,10.62135174,10.1266711,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25,12816,0,3000,0.1287,1,0.234082397,4,9.458527694,8.006700845,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
24,12960,1,3650,0.0991,1,0.281635802,3,9.469700127,8.202756382,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
26,226000,4,20000,0.1149,0,0.088495575,4,12.3282947,9.903537551,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25,225000,0,30000,0.1991,0,0.133333333,2,12.32386013,10.30898599,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
26,213000,6,35000,0.1065,1,0.164319249,2,12.26905214,10.46313191,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24,225000,0,6000,0.1099,0,0.026666667,4,12.32386013,8.699681401,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
24,12960,0,4500,0.1183,1,0.347222222,4,9.469700127,8.412054873,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
23,12996,0,2400,0.1349,1,0.184672207,2,9.472473841,7.783640596,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
22,42000,6,25000,0.1459,1,0.595238095,2,10.64544871,10.1266711,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
26,48000,2,25000,0.0964,1,0.520833333,4,10.77897712,10.1266711,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25,12996,1,3600,0.1459,1,0.27700831,3,9.472473841,8.188966864,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
22,12996,1,4750,0.1099,1,0.365497076,3,9.472473841,8.466110401,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25,42360,1,25000,0.1635,1,0.590179415,3,10.65398341,10.1266711,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
21,49000,4,25000,0.1099,1,0.510204082,2,10.79959599,10.1266711,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25,225000,0,25000,0.1867,0,0.111111111,2,12.32386013,10.1266711,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
26,225000,1,3000,0.0932,0,0.013333333,4,12.32386013,8.006700845,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,225000,8,7500,0.0863,0,0.033333333,2,12.32386013,8.922791624,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
26,225000,2,25000,0.1008,0,0.111111111,2,12.32386013,10.1266711,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
22,49464,5,25000,0.1183,1,0.505418082,3,10.80902063,10.1266711,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
23,50000,1,25000,0.079,1,0.5,3,10.81979828,10.1266711,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
25,50000,4,25000,0.0599,1,0.5,2,10.81979828,10.1266711,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
24,44000,2,25000,0.1533,1,0.568181818,2,10.69196764,10.1266711,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
23,50000,1,25000,0.1183,1,0.5,4,10.81979828,10.1266711,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
22,50004,0,25000,0.1036,1,0.499960003,2,10.81987828,10.1266711,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
22,50004,3,25000,0.1223,1,0.499960003,3,10.81987828,10.1266711,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
22,52000,2,25000,0.1111,1,0.480769231,4,10.85901823,10.1266711,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
23,13200,3,4950,0.079,1,0.375,4,9.488047863,8.507344855,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
24,220000,1,25000,0.1158,0,0.113636364,2,12.30138737,10.1266711,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
23,216000,5,21000,0.089,0,0.097222222,3,12.28303832,9.952325335,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
25,216000,2,25000,0.1607,0,0.115740741,3,12.28303832,10.1266711,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
26,216000,10,20000,0.1422,0,0.092592593,2,12.28303832,9.903537551,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
23,215000,7,35000,0.1479,0,0.162790698,3,12.27839796,10.46313191,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
26,215000,11,12000,0.0788,0,0.055813953,2,12.27839796,9.392745259,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,52000,1,25000,0.1322,1,0.480769231,2,10.85901823,10.1266711,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
26,46000,2,25000,0.1186,1,0.543478261,4,10.73641841,10.1266711,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
22,53000,5,25000,0.1343,1,0.471698113,4,10.87806606,10.1266711,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
26,47000,0,25000,0.1528,1,0.531914894,2,10.75792416,10.1266711,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
23,47000,1,25000,0.1793,1,0.531914894,2,10.75792416,10.1266711,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
23,13200,2,1400,0.0925,0,0.106060606,4,9.488047863,7.244941546,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
21,13200,0,4500,0.1298,1,0.340909091,4,9.488047863,8.412054873,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
22,210000,6,16000,0.1062,0,0.076190476,4,12.25486757,9.680406499,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
26,210000,10,22000,0.1183,0,0.104761905,4,12.25486757,9.998843186,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
26,48000,5,25000,0.1843,1,0.520833333,2,10.77897712,10.1266711,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
22,54996,6,25000,0.1099,1,0.454578515,4,10.91503392,10.1266711,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24,55000,4,25000,0.1099,1,0.454545455,4,10.91510665,10.1266711,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
23,55000,4,25000,0.1136,1,0.454545455,3,10.91510665,10.1266711,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
23,55000,4,25000,0.1565,1,0.454545455,3,10.91510665,10.1266711,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
24,55164,8,25000,0.1322,1,0.453194112,4,10.91808397,10.1266711,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
26,56000,4,25000,0.1287,1,0.446428571,2,10.93312483,10.1266711,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
