person_age,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,log_person_income,log_loan_amnt
21,OWN,5,EDUCATION,B,0.11140 ,0,0.1,N,2,9.169622539,6.908754779
25,MORTGAGE,1,MEDICAL,C,0.12870 ,1,0.57,N,3,9.169622539,8.612685173
23,RENT,4,MEDICAL,C,0.15230 ,1,0.53,N,2,11.08982069,10.46313191
24,RENT,8,MEDICAL,C,0.14270 ,1,0.55,Y,4,10.90413782,10.46313191
21,OWN,2,VENTURE,A,0.07140 ,1,0.25,N,2,9.200391041,7.824445931
26,RENT,8,EDUCATION,B,0.12420 ,1,0.45,N,3,11.25287153,10.46313191
24,RENT,5,MEDICAL,B,0.11110 ,1,0.44,N,4,11.27665868,10.46313191
24,RENT,8,PERSONAL,A,0.08900 ,1,0.42,N,2,11.32660793,10.46313191
21,OWN,6,VENTURE,D,0.14740 ,1,0.16,N,3,9.210440367,7.378383713
22,RENT,6,VENTURE,B,0.10370 ,1,0.41,N,4,11.3504183,10.46313191
21,OWN,2,HOMEIMPROVEMENT,A,0.08630 ,1,0.45,N,2,9.210440367,8.412054873
23,RENT,2,VENTURE,A,0.07900 ,1,0.37,N,2,11.4616427,10.46313191
26,RENT,4,EDUCATION,E,0.18390 ,1,0.32,N,4,11.59137614,10.46313191
23,RENT,2,EDUCATION,A,0.07900 ,0,0.3,N,4,11.6526961,10.46313191
23,MORTGAGE,7,DEBTCONSOLIDATION,B,0.10650 ,0,0.06,N,3,13.12236538,10.30898599
23,RENT,0,EDUCATION,A,0.07900 ,0,0.29,N,4,11.69525536,10.46313191
23,RENT,7,MEDICAL,F,0.20250 ,1,0.32,N,4,11.43076051,10.46313191
23,RENT,8,DEBTCONSOLIDATION,D,0.18250 ,1,0.31,N,4,11.63515195,10.46313191
24,MORTGAGE,8,EDUCATION,B,0.10990 ,1,0.16,N,2,9.287394001,7.467942332
25,RENT,2,VENTURE,A,0.07490 ,0,0.22,N,4,11.99843943,10.46313191
25,RENT,9,PERSONAL,E,0.16770 ,0,0.25,Y,2,11.8277435,10.4574014
22,RENT,4,EDUCATION,D,0.17580 ,1,0.52,N,4,11.08215793,10.43414521
24,OWN,0,PERSONAL,A,0.07290 ,0,0.14,N,3,9.303921786,7.313886832
22,RENT,3,PERSONAL,D,0.14540 ,1,0.42,Y,4,11.28979441,10.43267359
24,RENT,8,HOMEIMPROVEMENT,C,0.12680 ,1,0.49,N,3,11.12353546,10.40429314
21,MORTGAGE,3,VENTURE,E,0.17740 ,1,0.42,Y,3,9.305741457,8.428580533
23,OWN,0,PERSONAL,A,0.09320 ,0,0.13,N,3,9.305741457,7.244941546
24,RENT,6,HOMEIMPROVEMENT,B,0.09990 ,1,0.5,N,3,11.08215793,10.38902614
21,OTHER,5,EDUCATION,C,0.12840 ,1,0.35,Y,2,9.340491056,8.294299609
21,OWN,5,MEDICAL,B,0.11120 ,1,0.17,N,3,9.351926736,7.601402335
25,RENT,2,VENTURE,A,0.06620 ,0,0.27,N,2,11.69525536,10.37352243
26,RENT,7,HOMEIMPROVEMENT,C,0.14170 ,1,0.33,Y,3,11.4616427,10.34338629
25,RENT,2,DEBTCONSOLIDATION,C,0.13850 ,0,0.08,N,3,12.63134365,10.09621313
26,MORTGAGE,10,MEDICAL,C,0.13490 ,0,0.03,N,4,12.61154109,8.96200721
21,OWN,5,EDUCATION,A,0.07510 ,1,0.21,N,4,9.392745259,7.824445931
22,RENT,1,EDUCATION,E,0.18390 ,1,0.63,N,2,10.77897712,10.30898599
24,RENT,8,DEBTCONSOLIDATION,D,0.14540 ,1,0.47,Y,3,11.06665399,10.30898599
25,RENT,4,HOMEIMPROVEMENT,D,0.16890 ,1,0.4,Y,4,11.22525673,10.30898599
23,RENT,3,DEBTCONSOLIDATION,D,0.10990 ,1,0.42,N,4,11.17746671,10.30898599
26,RENT,6,MEDICAL,E,0.17990 ,1,0.41,N,2,11.03571191,10.30898599
24,OWN,4,VENTURE,B,0.12690 ,1,0.21,N,3,9.392745259,7.824445931
26,MORTGAGE,10,VENTURE,A,0.07880 ,0,0.07,N,4,12.61154109,9.903537551
23,OWN,1,EDUCATION,F,0.19410 ,0,0.08,Y,2,12.61154109,10.09621313
26,OWN,9,HOMEIMPROVEMENT,B,0.10380 ,0,0.03,N,4,12.61154109,9.210440367
26,MORTGAGE,0,EDUCATION,D,0.15330 ,0,0.08,N,3,12.61154109,10.1266711
25,MORTGAGE,9,HOMEIMPROVEMENT,E,0.16450 ,0,0.06,N,3,12.61154109,9.798182591
26,RENT,8,PERSONAL,A,0.07490 ,1,0.37,N,3,11.29838232,10.30898599
22,RENT,4,MEDICAL,B,0.12690 ,1,0.38,N,3,11.10196026,10.30898599
26,RENT,0,DEBTCONSOLIDATION,A,0.06620 ,1,0.34,N,3,11.39671744,10.30898599
