person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file,log_person_income,log_loan_amnt
21,9600,5.0,1000,0.1114,0,0.1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9.169622538697624,6.90875477931522
25,9600,1.0,5500,0.12869999999999998,1,0.57,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9.169622538697624,8.612685172875459
23,65500,4.0,35000,0.1523,1,0.53,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11.089820688682373,10.463131911491967
24,54400,8.0,35000,0.1427,1,0.55,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,10.904137815028022,10.463131911491967
21,9900,2.0,2500,0.07139999999999999,1,0.25,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.200391041122515,7.824445930877619
26,77100,8.0,35000,0.1242,1,0.45,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11.252871529635922,10.463131911491967
24,78956,5.0,35000,0.11109999999999999,1,0.44,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11.276658679464603,10.463131911491967
24,83000,8.0,35000,0.08900000000000001,1,0.42,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.326607934898927,10.463131911491967
21,10000,6.0,1600,0.1474,1,0.16,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9.210440366976517,7.3783837129967145
22,85000,6.0,35000,0.10369999999999999,1,0.41,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11.350418300109132,10.463131911491967
21,10000,2.0,4500,0.0863,1,0.45,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9.210440366976517,8.412054873292933
23,95000,2.0,35000,0.079,1,0.37,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11.461642696843066,10.463131911491967
26,108160,4.0,35000,0.1839,1,0.32,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11.591376136796182,10.463131911491967
23,115000,2.0,35000,0.079,0,0.3,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11.652696102959753,10.463131911491967
23,500000,7.0,30000,0.1065,0,0.06,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,13.122365377402328,10.308985993422082
23,120000,0.0,35000,0.079,0,0.29,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11.695255355062795,10.463131911491967
23,92111,7.0,35000,0.2025,1,0.32,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11.430760506915592,10.463131911491967
23,113000,8.0,35000,0.1825,1,0.31,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11.635151947212842,10.463131911491967
24,10800,8.0,1750,0.1099,1,0.16,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9.287394001418473,7.467942332285852
25,162500,2.0,35000,0.07490000000000001,0,0.22,4,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11.998439434579149,10.463131911491967
25,137000,9.0,34800,0.1677,0,0.25,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,11.827743504053695,10.457401400981889
22,65000,4.0,34000,0.17579999999999998,1,0.52,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11.082157933374816,10.434145214930487
24,10980,0.0,1500,0.0729,0,0.14,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.303921785597714,7.313886831633462
22,80000,3.0,33950,0.1454,1,0.42,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,11.289794413577894,10.432673587634051
24,67746,8.0,33000,0.1268,1,0.49,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11.123535457318734,10.404293143019792
21,11000,3.0,4575,0.17739999999999997,1,0.42,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,9.305741456739435,8.428580533059634
23,11000,0.0,1400,0.0932,0,0.13,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.305741456739435,7.244941546337007
24,65000,6.0,32500,0.0999,1,0.5,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,11.082157933374816,10.389026137075234
21,11389,5.0,4000,0.1284,1,0.35,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,9.340491056441229,8.294299608857235
21,11520,5.0,2000,0.1112,1,0.17,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9.351926736038054,7.601402334583733
25,120000,2.0,32000,0.0662,0,0.27,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11.695255355062795,10.373522431293592
26,95000,7.0,31050,0.1417,1,0.33,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,11.461642696843066,10.343386292962181
25,306000,2.0,24250,0.13849999999999998,0,0.08,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12.631343648903034,10.096213132628804
26,300000,10.0,7800,0.1349,0,0.03,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12.611541086966115,8.962007209588313
21,12000,5.0,2500,0.0751,1,0.21,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.392745258631441,7.824445930877619
22,48000,1.0,30000,0.1839,1,0.63,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10.778977123006351,10.308985993422082
24,64000,8.0,30000,0.1454,1,0.47,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,11.06665398721974,10.308985993422082
25,75000,4.0,30000,0.1689,1,0.4,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,11.225256725762893,10.308985993422082
23,71500,3.0,30000,0.1099,1,0.42,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11.177466714598282,10.308985993422082
26,62050,6.0,30000,0.17989999999999998,1,0.41,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11.035711906538346,10.308985993422082
24,12000,4.0,2500,0.12689999999999999,1,0.21,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9.392745258631441,7.824445930877619
26,300000,10.0,20000,0.0788,0,0.07,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12.611541086966115,9.90353755128617
23,300000,1.0,24250,0.1941,0,0.08,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,12.611541086966115,10.096213132628804
26,300000,9.0,10000,0.1038,0,0.03,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12.611541086966115,9.210440366976517
